puuid,match_id,name,placement,level,gold_left,damage,num_traits,avg_tier,stddev_tier,variance_tier,max_tier,min_tier,total_units,first_trait,last_trait,distinct_traits,rank_by_damage,team_efficiency,damage_per_level,performance_score,efficiency_rank
a7ef0kHjMZmOkl5T6dn6WSWKARM3ycBx4zi8Cz98mHCb27M5V8zTZ1RysUbwDu6usLC3-WkG5YId8w,VN2_1096499747,Thanh Pahm,5,8,3,89,9,0.7777777777777778,0.97182531580755,0.9444444444444444,3,0,18,TFT15_Bastion,TFT15_Strategist,9,1,1.2361111111111112,11.125,48.356,1
JMIP1JKdefouT-r-t_VdU8jOj5r6pG-tmE_G7eJEGoBYh92c45zXLxxXkb_E6R3RwvKmdQTeMBkkTA,VN2_1096499747,Šøn of Žeuš,2,9,1,85,9,0.8888888888888888,1.2692955176439846,1.6111111111111112,4,0,19,TFT15_Bastion,TFT15_TheCrew,9,2,1.0493827160493827,9.444444444444445,79.34,2
D1UY8uj36VNu4n8voGxjQbFmiQimOmoF_6mFUVijb98dm91FoMK35wXO5TkAIFUaq7V_2rKOg5DQTw,VN2_1096499747,Động Vật Ăn Tạp,3,8,17,73,11,0.7272727272727273,0.9045340337332909,0.8181818181818181,3,0,19,TFT15_Bastion,TFT15_TheCrew,11,3,0.8295454545454546,9.125,68.292,3
4gR22DbMKE1eFe6ec5IQqnrQO3Cs2nVsu8udGdwH9XyNHM3z07X-6JTDKOhpZQ8xouirn0T-wUoWTw,VN2_1096499747,iumyngoc1,8,8,1,53,9,0.8888888888888888,0.7817359599705717,0.6111111111111113,2,0,18,TFT15_Destroyer,TFT15_Strategist,9,5,0.7361111111111112,6.625,18.212,4
LrTBWkj4kTeImk6ZSc1elrdXRt0_B6EcIr9knDF9zgYljC_LE-O6ZWD_hUU5BZS7aXYoRtn89ZkaJA,VN2_1096499747,Một ly Nâu Đá,1,9,2,59,11,1.0,0.8944271909999157,0.7999999999999998,3,0,21,TFT15_Destroyer,TFT15_SupremeCells,11,4,0.5959595959595959,6.555555555555555,89.236,5
xz7EOQpnRh0-NJQJ2hDJkmnmkpn5QRm8JXewRqLI5sS-jtKLSdZSiFokdUz6FHSS-rjGBw7J3hG8WQ,VN2_1096499747,Bunnie,6,8,1,40,11,0.7272727272727273,0.6466697906828632,0.41818181818181815,2,0,21,TFT15_Bastion,TFT15_Strategist,11,7,0.45454545454545453,5.0,38.16,6
7pitdQq1At9f83zDBv9pj8wxc4KPNvubTayzS4CCjsD6Rd7syssqtAxluOhtEdF4PBEwmxIJBGAMXA,VN2_1096499747,Chiine,4,9,0,48,12,0.9166666666666666,0.9962049198956219,0.9924242424242423,3,0,24,TFT15_Bastion,TFT15_Strategist,12,6,0.4444444444444444,5.333333333333333,59.192,7
PDXuatdXMuHgBWh6Rg5INXv7cOmqt_ygq8f7st5gX45GuLL-j2R2l7az3ug3I44Rx3rfLUIl2SP3aw,VN2_1096499747,myngoc,7,8,12,24,10,0.8,1.0327955589886444,1.0666666666666667,3,0,20,TFT15_Bastion,TFT15_Strategist,10,8,0.3,3.0,28.096,8
