match_id,puuid,name,TFT15_Bastion,TFT15_BattleAcademia,TFT15_Captain,TFT15_Destroyer,TFT15_DragonFist,TFT15_Duelist,TFT15_Edgelord,TFT15_ElTigre,TFT15_Empyrean,TFT15_GemForce,TFT15_Heavyweight,TFT15_Juggernaut,TFT15_Luchador,TFT15_OldMentor,TFT15_Prodigy,TFT15_Protector,TFT15_Rosemother,TFT15_SentaiRanger,TFT15_Sniper,TFT15_SoulFighter,TFT15_Spellslinger,TFT15_StarGuardian,TFT15_Strategist,TFT15_SupremeCells,TFT15_TheCrew
VN2_1096499747,JMIP1JKdefouT-r-t_VdU8jOj5r6pG-tmE_G7eJEGoBYh92c45zXLxxXkb_E6R3RwvKmdQTeMBkkTA,Šøn of Žeuš,0,,1,,,0,1,,,,,1,0,,,,,,,4,1,,,,0
VN2_1096499747,4gR22DbMKE1eFe6ec5IQqnrQO3Cs2nVsu8udGdwH9XyNHM3z07X-6JTDKOhpZQ8xouirn0T-wUoWTw,iumyngoc1,,,,2,1,0,,,,,0,0,,1,,,,2,,,1,,1,,
VN2_1096499747,xz7EOQpnRh0-NJQJ2hDJkmnmkpn5QRm8JXewRqLI5sS-jtKLSdZSiFokdUz6FHSS-rjGBw7J3hG8WQ,Bunnie,1,,,,,0,,,1,2,,0,,,1,1,,0,,,0,1,1,,
VN2_1096499747,LrTBWkj4kTeImk6ZSc1elrdXRt0_B6EcIr9knDF9zgYljC_LE-O6ZWD_hUU5BZS7aXYoRtn89ZkaJA,Một ly Nâu Đá,,,,3,1,,,,0,,1,0,,1,,1,,1,,,0,,1,2,
VN2_1096499747,PDXuatdXMuHgBWh6Rg5INXv7cOmqt_ygq8f7st5gX45GuLL-j2R2l7az3ug3I44Rx3rfLUIl2SP3aw,myngoc,0,,,,,0,,,,3,,0,,,0,1,1,,,,1,2,0,,
VN2_1096499747,a7ef0kHjMZmOkl5T6dn6WSWKARM3ycBx4zi8Cz98mHCb27M5V8zTZ1RysUbwDu6usLC3-WkG5YId8w,Thanh Pahm,0,3,,1,,,,,0,,,,,1,1,1,,,0,,,,0,,
VN2_1096499747,7pitdQq1At9f83zDBv9pj8wxc4KPNvubTayzS4CCjsD6Rd7syssqtAxluOhtEdF4PBEwmxIJBGAMXA,Chiine,0,,,,1,1,,,,2,,3,0,1,,0,1,,,0,0,,2,,
VN2_1096499747,D1UY8uj36VNu4n8voGxjQbFmiQimOmoF_6mFUVijb98dm91FoMK35wXO5TkAIFUaq7V_2rKOg5DQTw,Động Vật Ăn Tạp,3,0,,,,,1,1,,0,,,1,1,,,1,,,0,,0,,,0
